"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based?","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/10/13 11:22:58 AM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Carolina","Suburban","Mostly Residential","3","2006-12-07","90% to 99%","2","Remained Stable","Remained Stable","Federal, State, or Local Taxes;Pay and Salary Increases","5","Improved","5","Hiring Drivers","51 to 75","Reduced","76 to 100","0","6 to 8","3 to 5","1","2","2","More Optimistic","More Pessimistic","About the Same","1","5","Contract Partner","Contracted Rates","Labor Costs","Reducing","Increase","","","","","","",""
"2024/10/13 12:34:22 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Pennsylvania","Suburban","Mostly Residential","1","2017-10-17","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Worsened","3","Vehicle Maintenance & Repair;Route Optimization","16 to 30","Expanded","16 to 30","0","3 to 5","0","3","2","2","About the Same","More Pessimistic","More Pessimistic","4","3","Contract Partner","Contracted Rates","Economic Downturn","Expanding","","Driver accidents. Better training","Took over new area and have achieved 100% success","Transparency","Costs","","",""
"2024/10/13 7:18:53 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Ohio","Urban/City Center","Equal Mix of Both","0","2008-07-04","100%","2","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Employee Management;Quality of Vendor Services","6 to 15","Expanded","6 to 15","0","1 to 2","1 to 2","2","2","2","More Pessimistic","More Pessimistic","More Pessimistic","3","3","Labor Costs","Contracted Rates","Contract Partner","Maintaining","Remain the same","","","","","","",""
"2024/10/16 4:47:23 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Dakota","Rural","Mostly Residential","0","2011-10-16","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Worsened","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability","51 to 75","Reduced","6 to 15","0","1 to 2","1 to 2","3","3","2","More Pessimistic","More Pessimistic","More Pessimistic","4","2","Contracted Rates","Fleet Costs","Labor Costs","Maintaining","Remain the same","Reducing trucks/routes per day to improve efficiency while keeping good drivers happy.","gold status for 12 months","Focus on poor contractors, increase pay for good performance and safe contracts. Longevity of a contract means nothing and it should count for more. A lot more. ","","","It's a hands on business. You need to know it inside and out. You cant just pay someone and expect them to do it for you.  There's no room in the budget.",""
"2024/10/16 4:50:50 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Delaware","Urban/City Center;Suburban","Equal Mix of Both","8","2014-01-01","80% to 89%","1","Decreased","Decreased","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Improved","4","Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Professional Services","300+","Reduced","100+","4 to 8","6 to 8","3 to 5","2","3","2","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Increase","","","","","","",""
"2024/10/16 4:51:52 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Texas","Urban/City Center;Suburban;Rural","Equal Mix of Both","0","2017-01-07","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Quality of Vendor Services","16 to 30","Expanded","31 to 50","1 to 3","3 to 5","1 to 2","3","2","1","More Pessimistic","More Pessimistic","More Pessimistic","2","2","Overhead Costs","Fleet Costs","Labor Costs","Maintaining","Increase","","","","","","",""
"2024/10/16 4:53:39 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Dakota","Suburban;Rural","Mostly Residential","0","2022-07-01","100%","1","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Quality of Vendor Services","31 to 50","Remained Stable","6 to 15","0","1 to 2","0","3","2","2","More Pessimistic","More Pessimistic","More Pessimistic","3","3","Contract Partner","Labor Costs","Contracted Rates","Maintaining","Decrease","","","","","","",""
"2024/10/16 4:56:38 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Pennsylvania","Rural","Equal Mix of Both","5","2005-10-01","100%","1","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability","300+","Expanded","100+","1 to 3","3 to 5","1 to 2","2","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contracted Rates","Contracted Rates","Reducing","Remain the same","","","","","","",""
"2024/10/16 4:59:03 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","California","Rural;Interstate","Mostly Residential","3","2011-02-26","100%","2","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases","5","Remained Stable","5","Equipment Reliability;Employee Management;Quality of Vendor Services","6 to 15","Remained Stable","16 to 30","0","1 to 2","1 to 2","3","2","1","About the Same","About the Same","More Pessimistic","2","3","Contracted Rates","Labor Costs","Fleet Costs","Maintaining","Remain the same","","","","","","",""
"2024/10/16 4:59:28 PM CST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Oklahoma","Urban/City Center;Suburban;Rural;Interstate","Equal Mix of Both","2","2021-11-13","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases","3","Remained Stable","3","Hiring Drivers;Route Optimization","141 to 200","Remained Stable","31 to 50","0","3 to 5","1 to 2","3","3","3","About the Same","About the Same","About the Same","3","3","Contracted Rates","Labor Costs","Overhead Costs","Maintaining","Remain the same","Lack of profit","None","More revenue","","","",""
