"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based?","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/07/04 1:01:00 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Utah","Urban/City Center","Mostly Residential","0","2015-08-01","100%","3","Remained Stable","Remained Stable","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","4","Vehicle Maintenance & Repair;Route Optimization","1 to 5","Remained Stable","1 to 5","0","1 to 2","0","3","3","3","More Pessimistic","More Pessimistic","About the Same","3","3","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","","The lowest tenyeard driver has 2 years with us ","They have got to share some of the wealth they are making by moving express to the contractors.","Express integration is going to make us more inefficient.","","",""
"2024/07/04 1:17:28 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Ohio","Urban/City Center;Suburban;Rural","Mostly Residential","2","","80% to 89%","4","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Improved","4","Hiring Drivers;Equipment Reliability","6 to 15","Expanded","6 to 15","0","1 to 2","3 to 5","3","4","4","More Pessimistic","More Pessimistic","More Pessimistic","3","1","Contracted Rates","Contract Partner","Labor Costs","Reducing","Remain the same","","","Customer Experience what about Driver Experience ","","","",""
"2024/07/04 1:49:04 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","North Carolina","Suburban","Mostly Residential","0","2022-08-27","90% to 99%","3","Remained Stable","Decreased","Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","5","Hiring Drivers;Load quality ","31 to 50","Remained Stable","6 to 15","0","1 to 2","1 to 2","3","3","2","More Pessimistic","More Pessimistic","More Pessimistic","3","2","Contract Partner","Contracted Rates","Labor Costs","Reducing","Remain the same","","","","","","There is nothing independent about the relationship with FedEx and your success will be dependent upon your ability to work in their corrupt system ",""
"2024/07/04 11:21:57 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Minnesota","Suburban;Rural","Mostly Residential","0","2020-09-01","90% to 99%","1","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Improved","4","Vehicle Maintenance & Repair;Route Optimization;Equipment Reliability","101 to 140","Reduced","16 to 30","0","1 to 2","1 to 2","1","1","1","About the Same","About the Same","More Pessimistic","1","1","Contracted Rates","Labor Costs","Contract Partner","Reducing","Remain the same","Labor and fuel costs addressed by using more AVP as well as not taking an owner salary and supplementing with other business interests income","","Adjust our contracts based on inflation ","","","You can’t make money do this for the hassle of dealing with FedEx.  Simply trying to pay down loan payments enough  to walk away",""
"2024/07/05 12:15:56 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Washington","Urban/City Center;Suburban;Rural","Equal Mix of Both","2","2019-12-01","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Quality of Vendor Services;Quality of Professional Services","31 to 50","Reduced","6 to 15","1 to 3","1 to 2","1 to 2","4","3","4","About the Same","About the Same","About the Same","4","1","Contracted Rates","Contract Partner","Fleet Costs","Maintaining","Decrease","","","","","","",""
"2024/07/06 11:25:18 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Oregon","Urban/City Center","Equal Mix of Both","","","90% to 99%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Worsened","3","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Employee Management;Quality of Vendor Services;Quality of Professional Services","51 to 75","Reduced","51 to 75","0","1 to 2","1 to 2","4","2","2","More Pessimistic","More Pessimistic","More Pessimistic","3","3","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Remain the same","","","The unknown if express will come or not to us.","Express integration ","","",""
"2024/07/06 12:28:46 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","New York","Urban/City Center","Mostly Residential","0","2010-08-10","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Employee Management;Quality of Professional Services","6 to 15","Remained Stable","6 to 15","4 to 8","1 to 2","1 to 2","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Remain the same","The size and weight of our packages keep increasing while the overall volume has not. To avoid burn out and injuries we are forced to staff based on package size and bulk deliveries vs volume.","We have great service and very little customer disputes","Honest open dialog between negotiations, contractors and management..Too much gaslighting ","","","That our contract is very delicate..We invest alot, but can lose it very easily..",""
"2024/07/06 5:25:27 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Pennsylvania","Suburban","Mostly Residential","0","2013-04-08","90% to 99%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Remained Stable","4","Package size and efficiency ","6 to 15","Reduced","6 to 15","0","1 to 2","0","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Market Erosion","Labor Costs","Maintaining","Decrease","The number of large and heavy packages are the biggest challenge.  We pull off a few stops off drivers to alleviate their burden.","Getting through the daily failures of DRO and the poor loading of the trucks","Stop gaslighting us","Big box stores shifting deliveries to other companies.","None","The struggle of getting furniture type packages to the customers door without damages",""
"2024/07/06 7:21:23 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Massachusetts","Urban/City Center","Equal Mix of Both","0","2024-07-06","100%","1","Decreased","Decreased","Pay and Salary Increases","5","Improved","5","Employee Management","6 to 15","Reduced","6 to 15","1 to 3","1 to 2","0","2","2","3","Don't Know","About the Same","More Optimistic","5","1","Contract Partner","Contracted Rates","Labor Costs","Reducing","Remain the same","","","","","","",""
"2024/07/07 12:09:35 AM EST","FedEx Ground","Linehaul","Wisconsin","Interstate","Mostly Business","2","","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","2","Worsened","2","Vehicle Maintenance & Repair","0","Reduced","1 to 5","0","1 to 2","1 to 2","5","2","3","More Pessimistic","More Optimistic","More Pessimistic","5","5","Contract Partner","Economic Downturn","Market Erosion","Expanding","Remain the same","Had a death","","","","","",""
